time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-04T08:52:11.528Z,64.1059,-151.5109,10.1,4.3,ml,,,,0.73,ak,ak0209z0oy4i,2020-08-04T18:40:58.481Z,"46 km ENE of Lake Minchumina, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-08-04T08:30:10.550Z,17.834,-66.8835,12,3.09,md,21,255,0.1412,0.12,pr,pr2020217001,2020-08-05T05:45:56.040Z,"15 km S of Guánica, Puerto Rico",earthquake,0.57,0.41,0.19,10,reviewed,pr,pr
2020-08-04T07:50:38.980Z,17.9638,-66.9371,11,2.94,md,23,188,0.059,0.14,pr,pr2020217000,2020-08-05T05:40:26.040Z,"3 km WSW of Guánica, Puerto Rico",earthquake,0.46,0.32,0.32,12,reviewed,pr,pr
2020-08-04T06:05:44.449Z,56.1743,-149.213,11.9,2.6,ml,,,,0.64,ak,ak0209yz87vw,2020-08-04T18:20:27.843Z,"246 km SE of Chiniak, Alaska",earthquake,,10,,,reviewed,ak,ak
2020-08-04T05:44:25.620Z,36.3515,-97.35616667,7.74,2.51,ml,80,34,0,0.24,ok,ok2020pfca,2020-08-04T12:46:11.857Z,"9 km NW of Perry, Oklahoma",earthquake,,0.6,0.2,34,reviewed,ok,ok
2020-08-04T05:18:41.390Z,54.8744,-160.2709,30.1,3.5,mb,,161,0.396,1.07,us,us6000b8zy,2020-08-04T05:41:27.040Z,"53 km SSE of Sand Point, Alaska",earthquake,3.5,9.8,0.156,10,reviewed,us,us
2020-08-04T04:35:09.854Z,-22.5983,-112.2183,10,4.7,mb,,153,38.152,0.59,us,us6000b8zk,2020-08-05T03:00:32.040Z,"Easter Island region",earthquake,17.2,1.9,0.053,109,reviewed,us,us
2020-08-04T03:44:01.607Z,56.0927,-149.1812,20.68,3.4,ml,,213,2.519,0.86,us,us6000b91u,2020-08-05T02:44:16.155Z,"253 km SE of Chiniak, Alaska",earthquake,6.9,9.4,0.06,36,reviewed,us,us
2020-08-04T03:41:11.845Z,57.0597,-150.3469,10,3.1,ml,,234,1.41,0.97,us,us6000b8z1,2020-08-04T04:11:30.040Z,"131 km ESE of Chiniak, Alaska",earthquake,8.1,2,0.062,34,reviewed,us,us
2020-08-04T03:41:02.270Z,56.1003,-149.2196,10,3.1,ml,,,,0.6,ak,ak0209yxnet3,2020-08-04T05:55:23.513Z,"251 km SE of Chiniak, Alaska",earthquake,,0,,,reviewed,ak,ak
2020-08-04T03:24:58.041Z,-23.6342,-67.0806,225.91,4.3,mb,,97,1.216,0.7,us,us6000b8yz,2020-08-05T02:24:34.040Z,"100 km NW of San Antonio de los Cobres, Argentina",earthquake,9.3,7.4,0.217,6,reviewed,us,us
2020-08-04T02:59:50.840Z,33.1668,86.8801,39.73,4.6,mb,,69,5.009,0.5,us,us6000b8yq,2020-08-05T02:40:12.040Z,"western Xizang",earthquake,9,6.4,0.062,78,reviewed,us,us
2020-08-04T02:45:48.853Z,52.2597,-170.1465,35,3.6,ml,,214,0.585,1.19,us,us6000b90u,2020-08-05T01:21:35.465Z,"114 km SW of Nikolski, Alaska",earthquake,5.1,2,0.091,16,reviewed,us,us
